,name,cluster,commissioning_year,primary_fuel,pre_aqi,post_aqi,delta_aqi,pre_temp,post_temp,delta_temp,comm_aqi,comm_temp,impact_label
0,12 Applegate Solar LLC,0,2012,solar,37.970238095238095,35.47753624751102,-2.4927018477270764,8.945742023676807,7.983206986250464,-0.9625350374263428,42.9277108433735,10.019227783086478,Neutral
1,126 Grove Solar LLC,70,2012,solar,32.95852534562212,30.79705026627777,-2.1614750793443527,,4.974748832085789,,33.28888888888889,,Neutral
2,1420 Coil Av #C,1,2011,solar,28.01010101010101,52.90351462957847,24.893413619477457,,18.500684070357984,,29.857142857142858,,Negative
3,145 Talmadge Solar,0,2011,solar,39.56666666666666,37.312414220943204,-2.254252445723459,8.536110314805969,8.661880585195801,0.12577027038983246,37.857142857142854,9.355373732547644,Neutral
4,158th Fighter Wing Solar Farm,70,2011,solar,28.00892857142857,32.61450040872791,4.605571837299344,,5.088757133566916,,37.274193548387096,,Negative
5,180 Raritan Solar,0,2012,solar,37.970238095238095,35.47753624751102,-2.4927018477270764,8.945742023676807,7.983206986250464,-0.9625350374263428,42.9277108433735,10.019227783086478,Neutral
6,201 Sturbridge B,70,2014,solar,34.316487455197134,30.498613319443688,-3.8178741357534456,5.244060094494877,5.400584200421157,0.1565241059262803,29.210526315789473,4.933454172638955,Neutral
7,205 Sturbridge A,70,2014,solar,34.316487455197134,30.498613319443688,-3.8178741357534456,5.244060094494877,5.400584200421157,0.1565241059262803,29.210526315789473,4.933454172638955,Neutral
8,2081 Terzian Solar Project,1,2014,solar,51.79033687943263,51.76869658119657,-0.02164029823605773,17.964490364707757,18.587026364336147,0.6225359996283899,55.12987012987013,19.573071481658438,Negative
9,2097 Helton Solar Project,38,2014,solar,51.75,53.40833333333333,1.6583333333333314,14.358884708286883,15.252147922528357,0.8932632142414736,39.0,15.799605762594894,Negative
10,2127 Harris Solar Project,16,2014,solar,42.5625,41.916666666666664,-0.6458333333333357,12.031958081170039,13.3881870122631,1.3562289310930602,37.75,13.62275475128736,Negative
11,231 Dixon 74 Solar I  LLC,88,2017,solar,39.875,,,13.1192892313001,12.724230105643148,-0.39505912565695134,40.27272727272727,13.338618211498646,Neutral
12,24 Applegate Solar LLC,0,2014,solar,40.14678225095504,40.73818239373795,0.5914001427829092,9.134502010670488,,,31.64367816091954,7.716637734246429,Neutral
13,2555 E Olympic Bl,1,2012,solar,29.383116883116884,55.500736851800674,26.11761996868379,,18.75662229477447,,49.708333333333336,18.017636168179646,Negative
14,265 Pleasant Solar NG  LLC,70,2014,solar,34.316487455197134,30.498613319443688,-3.8178741357534456,5.244060094494877,5.400584200421157,0.1565241059262803,29.210526315789473,4.933454172638955,Neutral
15,301 Chestnut Solar NG,70,2017,solar,27.574006935687265,33.708333333333336,6.1343263976460705,5.304295104050539,,,36.34782608695652,5.593162393162393,Negative
16,350 Clark Solar  NG  LLC,0,2011,solar,39.56666666666666,37.312414220943204,-2.254252445723459,8.536110314805969,8.661880585195801,0.12577027038983246,37.857142857142854,9.355373732547644,Neutral
17,4 Applegate Solar LLC,0,2012,solar,37.970238095238095,35.47753624751102,-2.4927018477270764,8.945742023676807,7.983206986250464,-0.9625350374263428,42.9277108433735,10.019227783086478,Neutral
18,433 Purchase Solar NG  LLC,70,2012,solar,32.95852534562212,30.79705026627777,-2.1614750793443527,,4.974748832085789,,33.28888888888889,,Neutral
19,45 Mile Hydroelectric Project,2,2015,hydro,,59.333333333333336,,9.694187801932369,9.761216157031376,0.06702835509900673,35.0,11.041926394861179,Neutral
20,4Oaks,0,2015,solar,34.504765909728064,42.01651159142199,7.511745681693924,7.983206986250464,,,37.42307692307692,,Negative
21,500 Virginia Solar,0,2011,solar,39.56666666666666,37.312414220943204,-2.254252445723459,8.536110314805969,8.661880585195801,0.12577027038983246,37.857142857142854,9.355373732547644,Neutral
22,510 REPP One,0,2014,solar,40.14678225095504,40.73818239373795,0.5914001427829092,9.134502010670488,,,31.64367816091954,7.716637734246429,Neutral
23,651 Chase Solar NG,70,2014,solar,34.316487455197134,30.498613319443688,-3.8178741357534456,5.244060094494877,5.400584200421157,0.1565241059262803,29.210526315789473,4.933454172638955,Neutral
24,ABD Farms,0,2018,solar,42.39573512906846,33.23214285714286,-9.163592271925602,,,,41.25806451612903,,Neutral
25,ABEC Bidart-Old River LLC,1,2014,biomass,51.79033687943263,51.76869658119657,-0.02164029823605773,17.964490364707757,18.587026364336147,0.6225359996283899,55.12987012987013,19.573071481658438,Negative
26,AC Criminal Courts Complex SPE2  LLC,0,2013,solar,40.392426850258175,37.64365087162022,-2.7487759786379584,9.687300757817061,7.716637734246429,-1.9706630235706317,37.36585365853659,8.2497762382545,Neutral
27,ACCC Mays Landing,0,2013,solar,40.392426850258175,37.64365087162022,-2.7487759786379584,9.687300757817061,7.716637734246429,-1.9706630235706317,37.36585365853659,8.2497762382545,Neutral
