cluster,year,max_aqi,avg_temp,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
0,2011,42.0,9.355373732547644,USA,United States of America,12 Applegate Solar LLC,1.9,40.2003,-74.5761,solar,2012,SunRay Power LLC,2017,2.41461,2.35,2.43,2.492,2.276
0,2012,51.0,10.019227783086478,USA,United States of America,12 Applegate Solar LLC,1.9,40.2003,-74.5761,solar,2012,SunRay Power LLC,2017,2.41461,2.35,2.43,2.492,2.276
0,2013,49.0,8.2497762382545,USA,United States of America,12 Applegate Solar LLC,1.9,40.2003,-74.5761,solar,2012,SunRay Power LLC,2017,2.41461,2.35,2.43,2.492,2.276
70,2013,,5.244060094494877,USA,United States of America,126 Grove Solar LLC,2.0,42.0761,-71.4227,solar,2012,126 Grove Solar LLC,2017,0.0,0.0,0.0,2.416,2.251
1,2012,,18.017636168179646,USA,United States of America,1420 Coil Av #C,1.3,33.7943,-118.2414,solar,2011,Konoike Pacific,2017,1.528,2.149,1.515,1.592,1.66
0,2010,,8.536110314805969,USA,United States of America,145 Talmadge Solar,3.8,40.5358,-74.3913,solar,2011,Avidan Energy Solutions,2017,5.036,4.524,4.802,5.051,4.819
0,2011,42.0,9.355373732547644,USA,United States of America,145 Talmadge Solar,3.8,40.5358,-74.3913,solar,2011,Avidan Energy Solutions,2017,5.036,4.524,4.802,5.051,4.819
0,2012,51.0,10.019227783086478,USA,United States of America,145 Talmadge Solar,3.8,40.5358,-74.3913,solar,2011,Avidan Energy Solutions,2017,5.036,4.524,4.802,5.051,4.819
0,2011,42.0,9.355373732547644,USA,United States of America,180 Raritan Solar,1.9,40.5161,-74.34,solar,2012,180 Raritan Energy Solutions  LLC,2017,2.741,2.584,2.526,2.659,2.547
0,2012,51.0,10.019227783086478,USA,United States of America,180 Raritan Solar,1.9,40.5161,-74.34,solar,2012,180 Raritan Energy Solutions  LLC,2017,2.741,2.584,2.526,2.659,2.547
0,2013,49.0,8.2497762382545,USA,United States of America,180 Raritan Solar,1.9,40.5161,-74.34,solar,2012,180 Raritan Energy Solutions  LLC,2017,2.741,2.584,2.526,2.659,2.547
70,2013,,5.244060094494877,USA,United States of America,201 Sturbridge B,2.0,42.1091,-72.1712,solar,2014,SE Solarne2 LLC,2017,0.0,2.969,2.979,2.835,2.722
70,2014,42.0,4.933454172638955,USA,United States of America,201 Sturbridge B,2.0,42.1091,-72.1712,solar,2014,SE Solarne2 LLC,2017,0.0,2.969,2.979,2.835,2.722
70,2015,40.0,4.746732229123534,USA,United States of America,201 Sturbridge B,2.0,42.1091,-72.1712,solar,2014,SE Solarne2 LLC,2017,0.0,2.969,2.979,2.835,2.722
70,2013,,5.244060094494877,USA,United States of America,205 Sturbridge A,3.0,42.1093,-72.1705,solar,2014,SH Solarne2 LLC,2017,0.0,2.969,5.326,5.319,5.041
70,2014,42.0,4.933454172638955,USA,United States of America,205 Sturbridge A,3.0,42.1093,-72.1705,solar,2014,SH Solarne2 LLC,2017,0.0,2.969,5.326,5.319,5.041
70,2015,40.0,4.746732229123534,USA,United States of America,205 Sturbridge A,3.0,42.1093,-72.1705,solar,2014,SH Solarne2 LLC,2017,0.0,2.969,5.326,5.319,5.041
